titre;description;année;genre;réalisateur;image;;;;;;;
RESIDENT EVIL : CHAPITRE FINAL;Alice, seule survivante de la bataille de Washington contre les zombies, doit retourner à l’endroit où le cauchemar a débuté : le Hive à Raccoon City. C’est là, qu’Umbrella Corporation a regroupé ses forces pour mener un assaut final contre les survivants de l’apocalypse.;2017;Action, Epouvante-horreur;Paul W.S. Anderson;http://www.allocine.fr/film/fichefilm_gen_cfilm=181098.html;;;;;;;
LA CH’TITE FAMILLE;Valentin D. et Constance Brandt, un couple d’architectes designers en vogue préparent le vernissage de leur rétrospective au Palais de Tokyo. Mais ce que personne ne sait, c’est que pour s’intégrer au monde du design et du luxe parisien, Valentin a menti sur ses origines prolétaires et ch'tis. Alors, quand sa mère, son frère et sa belle-sœur débarquent par surprise au Palais de Tokyo, le jour du vernissage, la rencontre des deux mondes est fracassante. D’autant plus que Valentin, suite à un accident, va perdre la mémoire et se retrouver 20 ans en arrière, plus ch’ti que jamais !;2018;Comédie;Dany Boon;http://fr.web.img6.acsta.net/c_215_290/pictures/17/11/27/12/03/3859476.jpg;;;;;;;
ESCOBAR;"Impitoyable et cruel chef du cartel de Medellin, Pablo Escobar est le criminel le plus riche de l’Histoire avec une fortune de plus de 30 milliards de dollars. ""L’empereur de la cocaïne"" met la Colombie à feu et à sang dans les années 80 en introduisant un niveau de violence sans précédent dans le commerce de la drogue.
Fascinée par son charisme et son pouvoir, la très célèbre journaliste Virginia Vallejo, va s’apercevoir qu’on ne s’approche pas de l’homme le plus dangereux du monde impunément...";2018;Drame, Biopic, Policier;Fernando León de Aranoa;http://fr.web.img2.acsta.net/c_215_290/pictures/18/03/08/17/46/5852461.jpg;;;;;;;
FOREST GUMP;Quelques décennies d'histoire américaine, des années 1940 à la fin du XXème siècle, à travers le regard et l'étrange odyssée d'un homme simple et pur, Forrest Gump;1994;comedie dramatique,romance;Robert Zemekis;http://img.filmsactu.net/datas/films/f/o/forrest-gump/xl/46f86dae3aab9.jpg;;;;;;;
LA LIGNE VERTE;Paul Edgecomb, pensionnaire centenaire d'une maison de retraite, est hanté par ses souvenirs. Gardien-chef du pénitencier de Cold Mountain en 1935, il était chargé de veiller au bon déroulement des exécutions capitales en s’efforçant d'adoucir les derniers moments des condamnés. Parmi eux se trouvait un colosse du nom de John Coffey, accusé du viol et du meurtre de deux fillettes. Intrigué par cet homme candide et timide aux dons magiques, Edgecomb va tisser avec lui des liens très forts.;2000;Fantastique, policier;Franck Darabont;http://fr.web.img4.acsta.net/medias/nmedia/18/66/15/78/19254683.jpg;;;;;;;
LES EVADES;En 1947, Andy Dufresne, un jeune banquier, est condamné à la prison à vie pour le meurtre de sa femme et de son amant. Ayant beau clamer son innocence, il est emprisonné à Shawshank, le pénitencier le plus sévère de l'Etat du Maine. Il y fait la rencontre de Red, un Noir désabusé, détenu depuis vingt ans. Commence alors une grande histoire d'amitié entre les deux hommes...;1995;drame ;Franck Darabont;http://fr.web.img3.acsta.net/medias/nmedia/18/63/30/68/18686447.jpg;;;;;;;
IP MAN;Dans les années 30, il vit à Foshan dans le sud de la Chine, lors de l'occupation japonaise. Face à ses indéniables talents en matière d'arts martiaux, les Japonais lui demandent d'entraîner les soldats, ce qu'il refuse catégoriquement. Il va alors devoir lutter pour sa survie.;2008;Arts Martiaux;Wilson Yip;https://images-na.ssl-images-amazon.com/images/I/8143uwZE6LL._SY445_.jpg;;;;;;;
Street Fighter II, le film;Dans un futur proche, les assassinats d'hommes politiques se multiplient. Derrière ces attentats se cache un plan machiavélique monté par Bison, le chef suprême du plus grand syndicat du crime. Son but : trouver et capturer les plus grands experts en arts martiaux afin de les transformer en machines à tuer. Avec une armée de guerriers invincibles, rien ne pourra empêcher sa conquête du monde ! Mais des combattants légendaires vont se dresser sur sa route.;1994;aventure,arts martiaux;Gisabur? Sugii;http://papystreaming.com/fr/files/2015/05/Street-Fighter-II-le-film.jpg;;;;;;;
le crocodile du botswanga;Didier est un petit agent de joueurs de football. Parmi ses poulains, il compte le jeune Leslie Konda qui vient de signer son premier contrat d'attaquant avec un grand club espagnol. Cette nouvelle n'a pas échappé à Bobo Babimbi, passionné de foot et frais président du Botswanga, petit État pauvre d'Afrique centrale, le pays de la famille de Leslie. Il invite alors le jeune homme à découvrir la terre de ses ancêtres afin de le décorer.;2004;Comédie;Fabrice Éboué, Lionel Steketee;http://fr.web.img3.acsta.net/pictures/13/12/16/11/51/058213.jpg;;;;;;;
BIG FISH;L'histoire à la fois drôle et poignante d'Edward Bloom, un père débordant d'imagination, et de son fils William. Ce dernier retourne au domicile familial après l'avoir quitté longtemps auparavant, pour être au chevet de son père, atteint d'un cancer. Il souhaite mieux le connaître et découvrir ses secrets avant qu'il ne soit trop tard. L'aventure débutera lorsque William tentera de discerner le vrai du faux dans les propos de son père mourant.;2003;Fantasy, Comédie dramatique;Tim Burton;https://images-na.ssl-images-amazon.com/images/I/510W2QCSWXL._SY445_.jpg;;;;;;;
